,text
0,The countdown has started! 🕰 @Argho1234 @SurajAs14 @behrad95262961 @adebay2007 @Ndyoliviap @CORPORATE_ERICA @barbarives @Elon_Musk_Swap @ShreyaGupta80 @Rdasari7 @efis_ @Evapdehein @Franferreyra99 https://t.co/B0guTCrO19
1,Elon Musk treats his employees really horrible and his political views don't support working class Americans  how long are we going to continue to support this platform are we so addicted to social media that we're willing to overlook it? Let's make a stand by leaving the site.
2,@_BrianDaniels @BigBeefFace @thegamerwebsite I was on here when Elon Musk was still bald.. also you are on here so I don’t see your point… https://t.co/1WtmqmK0Fa
3,"Isaac Newton was agelastic, meaning ""never laughing"". He reportedly laughed only once in his life, when a friend asked him if Euclid's Elements was worthwhile reading.

Despite this quirk, he was still, by a large margin, funnier than Elon Musk has ever been."
4,"Elon Musk’s bodyguards follow him around the office—even to the restroom, Twitter employee says https://t.co/jGN78NGPcB https://t.co/yR38RUEc8W"
5,"Dear Elon Musk, love your Twitter, thank you but would love to see those Fauci files sometime before he’s arrested so you better hurry."
6,"@punishedCrab69 @YakShieMash @iamharaldur @elonmusk If you could be so kind to provide a source that informs me about all the wealth Elon Musk inherited from his family, that'd be appreciated."
7,"@evildanny7 @elonmusk elon musk bought twitter to have a voice and get attention, “everyone look at me” what a ridiculous little bitch."
8,Twitter's Links and Pics Are Boinked [Update: It’s 'Fixed'] https://t.co/iBkEt55Hjf
9,"Elon Musk torches House Jan. 6 committee for 'misleading the public,' withholding evidence: 'deeply wrong' | Fox News https://t.co/IzXpCwvGcx"
10,I’ve had some shitty bosses before but never Elon Musk level shitty. What a fucking asshole. https://t.co/TzGMlvUlf2
11,Elon musk will save the world lol
12,"Tesla Cuts Model S and Model X Prices Again, but the EVs Are Still Expensive https://t.co/1y44vdFqDh"
13,"Elon Musk Torches House Jan. 6 Committee for ‘Misleading the Public,’ Withholding Evidence: ‘Deeply Wrong’. Musk accused Reps. Liz Cheney, Adam Kizinger and Adam Schiff of withholding evidence. https://t.co/39wA1ymDFz"
