,text
0,"Newcastle United Foundation are striving to improve accessibility for girls and young women to reach the higher levels of the game.

https://t.co/1YGpwjqcVl"
1,"@talkSPORT Andy is one bitter bloke, he’s probably the same United fan that thought beating, Burnley, Charlton, forest and Newcastle made United the best team in the world a few weeks ago 🤣🤡"
2,"@_pauIjoyde @SeanDOlfc Enjoy FSG rotting your club to the ground whilst Chelsea, United, city and Newcastle steam roll you for the next decade."
3,"@FootyAccums @90min_Football Thank you Newcastle…

From every Manchester United fan 🤣🤣🤣 https://t.co/F1xstPY1eG"
4,"🗣️The owners of one of #NUFC's top four rivals have reaffirmed their commitment to the club. 

https://t.co/eoCGyCsYlj"
5,"“It’s going to take patience and little bit of understanding”

Alan Shearer has discussed Newcastle United’s progress under Eddie Howe, pushing for the Champions League and the challenges that lie ahead #NUFC 
https://t.co/47u5ji7fG6"
6,"BREAKING: Geordie terrorists fighting for a United Newcastle have begun their campaign. 

Police are said to be on the lookout for members of the Provisional Why-Aye R.A…"
7,Can NUFC's Season Be Saved? | Newcastle United Latest | Eddie Howe #NUFCFans #NUFCVideo #NewcastleUtd #ToonArmy #Toon #NUFC https://t.co/Pk0ZBJq3Ie
8,"OK, so maybe the issue is the sheer size of the clubs being talked about. Manchester United, Liverpool... Newcastle? OK, OK, Newcastle have a decent history and we all loved Byker Grove, they're a big club.

These foreigners, trying to come in and buy our biggest clubs like City."
9,@Beaut1ful_Game @piqueunitedszn @ShaunlfcT United fan speaking about signings like you didn’t just sign a liverpool fan this window😂😂😂 also 160M spent on two right wingers and both of them flopped. And the hardest team you faced in the caraboobins cup was newcastle in the final😭
10,"@sazzam31 @Knoller6969 @mdeeks76 Not sure even Klopp can guarantee that, unless it's very heavy investment. City will go again, so will Chelsea, Arsenal, Newcastle will go big and United also especially if Qatari deal goes through"
11,"How Should Fans Feel About Newcastle United?

#Newcastle #English #Public https://t.co/X4mfLWwti0"
12,"🙋🏼‍♂️Alan Shearer has discussed Newcastle United’s hopes of qualifying for the Champions League and praised Bruno Guimaraes for the impact he has made at St James Park #NUFC 

https://t.co/3eTqCcmsIf"
13,"@ScouseKolo55u5 No where near enough is it la, city, Newcastle, arsenal United will all strengthen this summer and we will rely on what we bring in before klopp can shop."
14,@F365 @twoht Let’s link Newcastle United to get clicks.
15,Can NUFC's Season Be Saved? | Newcastle United Latest | Eddie Howe: https://t.co/xP997l0wDC
16,"It’s a newcastle vs Man U ticket, showing we were United and we should’ve been called United on sky sports pal https://t.co/ywUMObUPai"
17,"👇 The latest on Newcastle United's 'interest' in Kieran Tierney

#NUFC | #AFC 

https://t.co/DjXQV5ahH7"
18,https://t.co/KuBDT2fOt8 | Alan Shearer – Newcastle United a besoin d’un miracle https://t.co/ehnJEiMplz
19,Check out Newcastle  United v Manchester United Carabao Cup Final Official Team Sheet 2023 https://t.co/8AUHttSgDU #eBay via @eBay_UK
20,"🤙The #NUFC left-back has received an international call-up. 

https://t.co/LcxA0mKwYe"
21,Check out Newcastle  United v Manchester United Carabao Cup Final Official Team Sheet 2023 https://t.co/SPWjQYsokB #eBay via @eBay_UK
22,"Newcastle United are considering making a bid for Arsenal forward Folarin Balogun this summer.

The Gunners forward who is currently on loan at Reims, has scored 15 goals in 25 games in #Ligue1UberEats this season. #AFC #COYG 🔴⚪ #NUFC #ToonArmy ⚫⚪ https://t.co/n6ODOvyatZ"
23,Foden strikes again as Man City see off Newcastle | Pep: An incredibly good result https://t.co/eESHGsH2oK
24,Man City 2-0 Newcastle highlights https://t.co/MCDdax50qv
25,"@cotterill_david ""I'm a united fan. The fans saying glazers out because they are losing is embarrassing. Didn't say that when they beat Newcastle. Clueless""

Actual United fans: https://t.co/Y1Z6fC7spc"
